Ratio,mA1,sA1,iA1,mA2,sA2,iA2,mA3,sA3,iA3,mA4,sA4,iA4,mA11,sA11,iA11,mA12,sA12,iA12,mA13,sA13,iA13,mA14,sA14,iA14,mA21,sA21,iA21,mA22,sA22,iA22,mA23,sA23,iA23,mA24,sA24,iA24,mA31,sA31,iA31,mA32,sA32,iA32,mA33,sA33,iA33,mA34,sA34,iA34,mA41,sA41,iA41,mA42,sA42,iA42,mA43,sA43,iA43,mA44,sA44,iA44,Label
15.88000011,95.32,30.63,34.52,-0.03,8.36,9.06,-0.19,3.6,3.65,0.01,2.04,1.96,191.02,55.43,63.12,-2,22.23,23.68,-0.08,10.58,12.3,-0.23,8.45,10.2,-0.09,6.69,6.27,0.19,13.49,14.81,0,3.52,3.11,0,6.15,7.84,-0.03,3.45,2.83,0.11,2.4,2.31,0.53,4.66,5.18,-0.17,3.49,3.9,0.02,1.12,1.09,0.01,1.97,1.85,-0.1,1.87,2.08,0.13,2.84,3.17,1
12,101.83,37.73,53.96,0.26,8.76,8.79,-0.01,2.37,1.88,0.02,1.32,1.15,207.54,71.41,95.8,-4.92,22.4,28.63,0.01,6.85,9.53,0.76,5.69,7.72,0.41,9.74,8.06,-0.43,13.83,15.24,-0.02,1.76,1.86,-0.23,3.84,5.09,0.06,2.48,1.51,0.04,1.62,1.32,0.1,2.97,2.7,0.03,2.17,2.17,0.01,0.81,0.8,0.01,1.38,1.18,-0.03,1.13,1.37,0.17,1.77,1.91,1
5.809999943,132.82,31.64,36.41,-0.09,8.73,10.25,0.28,7.28,4.79,0.01,2.63,2.39,268.76,56.51,67.9,0.12,22.93,24.35,-1.11,13,16.06,-1,10.66,11.67,0.11,5.64,5.85,0.73,13.77,16.91,0.06,3.56,4.31,-0.17,8.33,10.53,0.05,8.01,2.97,-0.05,2.77,2.27,-0.35,10.04,7.27,0.33,6.18,5.79,0.02,1.29,1.27,0.05,2.05,1.85,-0.12,2.31,2.21,0.14,4.07,3.96,1
5.289999962,139.29,21.38,29.51,0.47,9.67,12.43,0.08,7.12,8.85,-0.03,3.18,3.35,276.16,33.29,41,0.28,18.14,24.28,1.77,16.01,22.16,-0.05,11.51,16.37,0.82,8.47,10.65,0.84,14.43,18.05,-0.05,4.6,6.07,-0.44,8.38,10.67,0.24,4.34,4.91,0.33,3.54,4.61,-0.68,11.02,12.93,0.1,7.05,9.67,0.03,1.62,1.63,-0.27,2.67,3.05,-0.38,2.64,3.17,-0.09,4.85,5.55,1
127,84.32,33.74,39.94,0.14,11.22,13.4,0.08,8.29,9.1,0,3.74,3.65,169.25,59.16,65.35,-0.75,23.94,29.79,0.71,17.6,21.71,-0.75,13.04,17.82,0.72,10.41,12,-2.38,16.93,22.13,0.24,3.78,4.04,0.08,9.32,11.42,-0.57,7.04,5.62,0.13,4.69,4.14,1.01,11.41,13.68,0.27,8.49,10.33,0,1.8,1.59,-0.05,3.51,3.02,0.11,3.03,3.4,-0.02,5.57,6.93,1
96,68.86,29.68,42.65,-0.07,10.51,12.4,-0.06,8.18,7.99,0.02,3.03,3.13,138.44,51.61,77.07,-0.68,20.31,29.89,-0.26,16.88,21.32,0.71,12.73,16.97,0.14,9.47,10.18,1.55,15.37,17.39,-0.17,4.74,5.69,-0.24,9.62,11.79,-0.49,7.44,5.57,0.2,3.6,4.34,2.11,11.82,13.99,-0.03,7.12,9.17,0.04,1.98,2,0.17,2.9,3.46,-0.61,2.72,2.99,-0.37,4.07,4.64,1
6.929999828,108.84,27.66,37.74,0.05,8.91,10.23,-0.08,7.41,8.81,0.06,2.64,2.96,220.94,47.86,70.03,-2.09,19.89,26.22,-1.07,15.09,20.34,0.43,11.96,14.56,-0.08,8.23,7.14,-2.07,13.24,16.29,0.15,3.58,3.79,0.41,7.56,8.89,-0.41,6.4,7.31,0.25,4.42,4.97,1.37,10.39,14.27,0.58,7.04,8.56,0.07,1.49,1.43,-0.19,2.53,2.7,-0.25,1.94,2.42,-0.53,3.9,4.8,1
3.440000057,154.19,23.65,31.27,0.16,9.11,11.33,-0.14,4.9,4.71,-0.05,2.42,2.05,307.75,39.96,53.35,0.2,19.47,23.87,0.56,12.06,16.7,0.77,10.66,13.83,-0.24,8.15,10.69,-1.63,14.51,18.51,-0.12,2.62,3.03,0.42,6.85,8.37,0.17,4.19,3.55,-0.13,3.3,3.38,-0.48,6.51,7.23,0.13,5.01,5.83,-0.03,1.21,1.07,0.05,2.55,2.39,-0.03,1.46,1.61,0.2,3.64,4.69,1
3.660000086,146.46,24.34,32.64,-0.15,10.32,13.65,-0.07,5.87,6.74,-0.06,2.83,3.07,289.96,40.8,54.14,-0.49,19.98,23.74,1.1,13.43,18.51,0.42,11.17,15.72,-0.82,8.8,11.03,4.39,15.76,21.15,-0.48,4.31,5.18,-1.34,8.28,10.7,-0.19,4.28,3.96,0.06,2.89,3.45,0.51,8.87,10.32,0.48,5.57,7.28,0.03,1.45,1.44,-0.11,2.26,2.35,0.23,2.99,3.16,0.29,3.92,4.47,1
4.820000172,113.28,22.94,30.95,-0.6,9.81,12.11,-0.02,5.21,6.22,-0.03,2.75,2.82,229.56,38.21,49.42,-2.29,20,25.01,0.11,12.04,15.01,0.35,9.98,12.64,-0.47,9.32,9.51,0.38,15.31,19.93,-0.13,4.08,4.43,0.5,6.56,7.91,0.06,4.61,4.35,-0.07,3.2,3.89,0.22,7.04,8.46,0.42,5.19,6.6,-0.06,1.66,1.54,-0.14,2.97,3.08,0.09,2.27,2.51,-0.02,3.67,4.19,1
26.5,108.88,29.08,30,-0.09,10.76,8.86,0.18,4.54,4.7,0,2.1,2.13,217.8,50.07,50.42,-1.15,26.3,24.22,0.92,10.43,12.62,0.44,8.56,11.8,-0.21,9.38,6.4,-1.43,18.07,15.84,-0.11,2.65,2.62,-0.29,6.36,6.71,0.04,4.05,3.67,0.06,2.49,2.87,0.03,6.16,6.89,-0.24,4.58,5.42,-0.05,1.04,1.01,0.08,1.99,1.99,0,1.55,1.34,0.16,3.17,3.74,1
